School Name,Department,Program,Scholar's Association,Scholar's Association Facebook Page,Type of Institution
University of Santo Tomas,"Science, Technology, Engineering, and Mathematics Sector",BS Civil Engineering major in Geotechnical Engineering,,,Private Higher Education Institution
University of Santo Tomas,"Science, Technology, Engineering, and Mathematics Sector",BS Civil Engineering major in Structural Engineering,,,Private Higher Education Institution
University of Santo Tomas,"Science, Technology, Engineering, and Mathematics Sector",BS Civil Engineering major in Transportation Engineering,,,Private Higher Education Institution
University of Santo Tomas,"Science, Technology, Engineering, and Mathematics Sector",BS Civil Engineering major in Water Resource Technology,,,Private Higher Education Institution
University of Santo Tomas,"Science, Technology, Engineering, and Mathematics Sector",BS Computer Science major in Core Computer Science,,,Private Higher Education Institution
University of Santo Tomas,"Science, Technology, Engineering, and Mathematics Sector",BS Computer Science major in Data Science,,,Private Higher Education Institution
University of Santo Tomas,"Science, Technology, Engineering, and Mathematics Sector",BS Computer Science major in Game Development,,,Private Higher Education Institution
University of Santo Tomas,"Science, Technology, Engineering, and Mathematics Sector",BS Electrical Engineering,,,Private Higher Education Institution
University of Santo Tomas,"Science, Technology, Engineering, and Mathematics Sector",BS Electronics Engineering,,,Private Higher Education Institution
University of Santo Tomas,"Science, Technology, Engineering, and Mathematics Sector",BS Food Technology,,,Private Higher Education Institution
University of Santo Tomas,"Science, Technology, Engineering, and Mathematics Sector",BS Industrial Engineering,,,Private Higher Education Institution
University of Santo Tomas,"Science, Technology, Engineering, and Mathematics Sector",BS Information Systems major in Business Analytics,,,Private Higher Education Institution
University of Santo Tomas,"Science, Technology, Engineering, and Mathematics Sector",BS Information Systems major in Service Management,,,Private Higher Education Institution
University of Santo Tomas,"Science, Technology, Engineering, and Mathematics Sector",BS Information Technology major in Information Technology Automation,,,Private Higher Education Institution
University of Santo Tomas,"Science, Technology, Engineering, and Mathematics Sector",BS Information Technology major in Network and Security,,,Private Higher Education Institution
University of Santo Tomas,"Science, Technology, Engineering, and Mathematics Sector",BS Information Technology major in Web and Mobile Development,,,Private Higher Education Institution
University of Santo Tomas,"Science, Technology, Engineering, and Mathematics Sector",BS Mechanical Engineering,,,Private Higher Education Institution
University of Santo Tomas,"Science, Technology, Engineering, and Mathematics Sector",BS Microbiology,,,Private Higher Education Institution
